Title ,Group / Association,Website / Resource Link,DescriptioResource Description
"
Know Your Rights When Confronted by ICE
",Immigrant Legal Resource Center,Website Link,"
A flyer that outlines 5 key reminders about your constitutional rights when confronted by (ICE). 
Everyone – regardless of immigration status – has rights in this country. Period.
"
"
A Guide to Changing Your Immigration Court Hearing From In-person to Online
",National Immigration Project ,PDF Resource Link,"
Do you want to change the format of your immigration court hearing from inperson to internet-based (virtual/online)? You can do this by filing a Motion to Change Hearing Format in your immigration case. This guide walks you through the steps to file a Motion to Change Format. 
"
"
Know Your Rights Cards 
in Asian Languages
","AAPI Women Lead 
Instagram","
KYR Diff. Lang. Cards Link
","
Translations in Bengali, Burmese, Chinese, Dari, Gujarati, Karen, Nepali, and Urdu.
"
What to Do if Detained,"
Radio Jornalera

Communal Press

NDLON - National Day Laborers Organizing Network

Instagram
","
Spanish Video Resource
",What to do if detained / Que debo hacer si me detienen -  Spanish Video Resource 
"
How to Tell the Difference Between A Judicial Warrant and an Administrative Warrant
","
@The Korean Vegan 
Instagram ",English Video Resource,@thekoreanvegan an attorney
"
What to Do if ICE Shows Up At Your Workplace
","
Radio Jornalera

Communal Press

NDLON - National Day Laborers Organizing Network

Instagram 
",Spanish Video Resource,"
What to do if ICE shows up at work  / Que hago si ICE llega a donde trabajo 
- Spanish Video Resource
"