Name,Website,Rapid Response #,Address,Area,Organization Mission
Boyle Heights (L.A.),,323 - 805 - 1049,,Boyle Heights (L.A.),
Los Angeles Rapid Response Network,,888 - 624 - 4752,,Los Angeles,"The Los Angeles Raids Rapid Response Network is a collaborative effort between the community, faith, immigrant, labor, legal and LGBTQI organizations to protect, defend and serve the immigrant community of Los Angeles County from deportation. The RRRN was first established in 2006 as a response to mass raids in Los Angeles factories and textile centers. Today, the RRRN focuses on advocacy, direct action to shut down detention centers, and connecting immigrants facing detention and deportation to legal representation."
Koreatown Rapid Response Network,,323 - 894 - 1504,,Koreatown,
Ã“rale,Link,562 - 245 - 9575,,Long Beach,
Central Valley ,,559 - 206 - 0151,,Central Valley ,
Kern County ,,661 - 432 - 2230,,Kern County ,
Orange County ,,714 - 881 - 1558,,Orange County ,
San Bernardino/Riverside,,909 - 361 - 4588,,San Bernardino/Riverside,
Immigrant Rapid Response Hotline,,805 - 870 - 8855,,"Santa Barbara, Ventura & San Luis Obispo",
Immigrant Defenders,,213 - 833 - 8283,,,
,,,,,
Pilipino Workers Center Immigration-Related Emergency ,,820 - 777 - 4102,,Southern California,